,公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
23,4725,信昌化,2025285,1942568,1547706,4.25,30.85,2025285,1547706,30.85
24,4733,上緯企業,127857,140993,104132,-9.31,22.78,127857,104132,22.78
25,1701,中化,253197,201919,262635,25.39,-3.59,253197,262635,-3.59
26,1707,葡萄王,209482,213505,133655,-1.88,56.73,209482,133655,56.73
27,1720,生達化學,207277,164774,178825,25.79,15.91,207277,178825,15.91
28,1729,必翔實業,96251,131592,64982,-26.85,48.11,96251,64982,48.11
29,1731,美吾華,262831,144986,222915,81.28,17.9,262831,222915,17.9
30,1733,五鼎,98462,117408,137608,-16.13,-28.44,98462,137608,-28.44
31,1734,杏輝藥品,160818,137907,121176,16.61,32.71,160818,121176,32.71
32,1736,喬山健康,497210,523444,518974,-5.01,-4.19,497210,518974,-4.19
33,1762,中化合成,109964,96072,92020,14.45,19.5,109964,92020,19.5
34,1789,台灣神隆,182176,502912,255645,-63.77,-28.73,182176,255645,-28.73
35,3164,景岳生技,21508,34044,27605,-36.82,-22.08,21508,27605,-22.08
36,3705,永信,89703,0,0,,,89703,0,
37,4104,佳醫,311565,297879,232244,4.59,34.15,311565,232244,34.15
38,4106,雃博,99572,125177,115267,-20.45,-13.61,99572,115267,-13.61
39,4108,懷特,5824,25312,1995,-76.99,191.92,5824,1995,191.92
40,4119,旭富製藥,97823,100292,61120,-2.46,60.05,97823,61120,60.05
41,4133,亞諾法,37075,32437,35090,14.29,5.65,37075,35090,5.65
42,4142,國光生技,143,0,150339,,-99.9,143,150339,-99.9
43,4737,華廣,88922,105592,69066,-15.78,28.74,88922,69066,28.74
44,4746,台耀,212133,242070,169416,-12.36,25.21,212133,169416,25.21
0,1437,勤益,117740,118444,143678,-0.59,-18.05,117740,143678,-18.05
1,2302,麗正,24074,31768,26693,-24.21,-9.81,24074,26693,-9.81
2,2303,聯電,9525055,10178453,8600453,-6.41,10.75,9525055,8600453,10.75
3,2311,日月光,5669589,5746644,4618849,-1.34,22.74,5669589,4618849,22.74
4,2325,矽品,4619222,4821917,5082552,-4.2,-9.11,4619222,5082552,-9.11
5,2329,華泰電子,849100,1013544,803654,-16.22,5.65,849100,803654,5.65
6,2330,台積電,34424173,33751175,29156271,1.99,18.06,34424173,29156271,18.06
7,2337,旺宏,2147894,1736919,2228845,23.66,-3.63,2147894,2228845,-3.63
8,2338,光罩,161232,158707,173254,1.59,-6.93,161232,173254,-6.93
9,2342,茂矽,351280,254497,346035,38.02,1.51,351280,346035,1.51
10,2344,華邦電,2596235,2578632,2361008,0.68,9.96,2596235,2361008,9.96
11,2351,順德,650130,677567,596513,-4.04,8.98,650130,596513,8.98
12,2363,矽統科技,164288,136155,194375,20.66,-15.47,164288,194375,-15.47
13,2369,菱生,561731,472330,485695,18.92,15.65,561731,485695,15.65
14,2379,瑞昱,1886159,1676705,2386032,12.49,-20.94,1886159,2386032,-20.94
15,2388,威盛電子,434829,384576,367622,13.06,18.28,434829,367622,18.28
16,2401,凌陽科技,421188,441141,611199,-4.52,-31.08,421188,611199,-31.08
17,2408,南科,3442728,4048028,4722438,-14.95,-27.09,3442728,4722438,-27.09
18,2425,承啟,178709,102405,230488,74.51,-22.46,178709,230488,-22.46
19,2434,統懋,55630,80132,51330,-30.57,8.37,55630,51330,8.37
20,2436,偉詮電,162104,156373,214096,3.66,-24.28,162104,214096,-24.28
21,2441,超豐電子,818940,679101,912411,20.59,-10.24,818940,912411,-10.24
22,2449,京元電,1030137,1051680,1110352,-2.04,-7.22,1030137,1110352,-7.22
23,2451,創見資訊,2774162,3028651,2930284,-8.4,-5.32,2774162,2930284,-5.32
24,2454,聯發科,4779612,5296578,9042190,-9.76,-47.14,4779612,9042190,-47.14
25,2458,義隆,421502,378967,394344,11.22,6.88,421502,394344,6.88
26,2481,強茂,371201,410283,411376,-9.52,-9.76,371201,411376,-9.76
27,3006,晶豪科技,609431,442364,590733,37.76,3.16,609431,590733,3.16
